Lindy Hop 基本組合
T,第一段
6,6 Count Basic
,2,Rock Step
,2,Triple Step
,2,Triple Step
6,Send Out
,2,Rock Step
,2,Triple Step
,2,Triple Step
6,Change Place
,2,Rock Step
,2,Triple Step
,2,Triple Step
6,Call Back
,2,Rock Step
,2,Triple Step
,2,Triple Step
8,Break

T,第二段
8,Swing Out
,2,Rock Step
,2,Triple Step
,2,Step Step
,2,Triple Step
8,Swing Out
,2,Rock Step
,2,Triple Step
,2,Step Step
,2,Triple Step
8,Texas Tommy
,2,Rock Step
,2,Triple Step
,2,Step Step
,2,Triple Step
8,Lindy Circle
,2,Rock Step
,2,Triple Step
,2,Step Step
,2,Triple Step
